"terms","ChiSq","Df","P","dAIC"
"Predominant_land_use",5.95598735756357,"2 , 15",0.0508948429024448,1.95598735756357
"Forest_biome",55.6206706989742,"6 , 13",3.47307656998342e-10,43.6206706989742
"Use_intensity",7.64086308335209,"2 , 13",0.0219183401758057,3.64086308335209
"Tropical",2.80166114386702,"1 , 16",0.0941666997683487,0.801661143867022
"poly(fert.total_log,1)",0.193067980464548,"1 , 20",0.660375336925766,-1.80693201953545
"poly(Hansen_mindist_log,1)",4.77001299613221,"1 , 13",0.0289596070829306,2.77001299613221
"poly(landcovers.5k,1)",1.17717483565502,"1 , 18",0.27793189419339,-0.822825164344977
"poly(homogen,1)",2.87341796152214,"1 , 17",0.0900534339112269,0.873417961522136
"poly(percNH,1)",0.80784399417098,"1 , 19",0.368758443145534,-1.19215600582902
"Predominant_land_use:fert.total_log",6.80744898819466,"2 , 28",0.0332492026008445,2.80744898819466
"Predominant_land_use:Hansen_mindist_log",3.39983977134762,"2 , 34",0.182698160206446,-0.600160228652385
"Predominant_land_use:landcovers.5k",0.265744289803479,"2 , 45",0.875577031940033,-3.73425571019652
"Predominant_land_use:homogen",0.651660553548936,"2 , 43",0.721927704933071,-3.34833944645106
"Predominant_land_use:percNH",2.04152006274126,"2 , 41",0.360320980828493,-1.95847993725874
"Use_intensity:fert.total_log",11.5288026675444,"2 , 28",0.00313727298107312,7.52880266754437
"Use_intensity:Hansen_mindist_log",2.05604976984432,"2 , 32",0.357712787214829,-1.94395023015568
"Use_intensity:landcovers.5k",3.89632512679054,"2 , 30",0.142535731491677,-0.103674873209457
"Use_intensity:homogen",3.29847902691836,"2 , 36",0.192196015540558,-0.701520973081642
"Use_intensity:percNH",2.45312272759293,"2 , 39",0.293299395568648,-1.54687727240707
"Predominant_land_use:Use_intensity",19.3719710160785,"4 , 28",0.000664116886119172,11.3719710160785
"Tropical:Hansen_mindist_log",1.51905194750725,"1 , 37",0.217763018237689,-0.480948052492749
