"terms","ChiSq","Df","P","dAIC"
"Predominant_land_use",10.2583921973746,"2 , 12",0.00592131871673589,6.25839219737463
"Forest_biome",21.7935783374705,"6 , 12",0.0013196897071631,9.79357833747054
"Use_intensity",0.140750413309433,"2 , 20",0.932044045162912,-3.85924958669057
"Tropical",0.387302642830036,"1 , 17",0.533720665700653,-1.61269735716996
"poly(fert.total_log,1)",2.68974756125317,"1 , 14",0.100995813379179,0.689747561253171
"poly(Hansen_mindist_log,1)",0.392970664270251,"1 , 16",0.530742013267453,-1.60702933572975
"poly(landcovers.5k,1)",0.046890807680029,"1 , 18",0.828564624682231,-1.95310919231997
"poly(homogen,1)",0.720217260346544,"1 , 15",0.396072653072274,-1.27978273965346
"poly(percNH,1)",3.03638380183111,"1 , 13",0.0814171010743615,1.03638380183111
"Predominant_land_use:fert.total_log",2.13204729800054,"2 , 41",0.344375154994505,-1.86795270199946
"Predominant_land_use:Hansen_mindist_log",6.75758084697009,"2 , 34",0.0340886626532815,2.75758084697009
"Predominant_land_use:landcovers.5k",0.202898083378386,"2 , 43",0.903527220390043,-3.79710191662161
"Predominant_land_use:homogen",5.85306025319733,"2 , 36",0.0535826409304293,1.85306025319733
"Predominant_land_use:percNH",2.46317690135402,"2 , 39",0.29182865389553,-1.53682309864598
"Use_intensity:fert.total_log",6.39274752377969,"2 , 34",0.0409102857635248,2.39274752377969
"Use_intensity:Hansen_mindist_log",15.5218387572895,"2 , 34",0.000426064685789958,11.5218387572895
"Use_intensity:landcovers.5k",12.2874520801488,"2 , 34",0.00214690922678278,8.2874520801488
"Use_intensity:homogen",6.05241816043053,"2 , 34",0.0484991464474474,2.05241816043053
"Use_intensity:percNH",0.144416274903051,"2 , 45",0.930337237636444,-3.85558372509695
"Predominant_land_use:Use_intensity",29.372302063417,"4 , 34",6.56752959888451e-06,21.372302063417
"Tropical:Hansen_mindist_log",2.19031765808541,"1 , 37",0.138880670753046,0.190317658085405
